Summary,Issue Type,Labels,Description
Weak Email Authentication Controls Enabling Domain Spoofing Risk,Bug,Security,"h1. Weak Email Authentication Controls Enabling Domain Spoofing Risk

----

h3. Affected Endpoint(s):

* {{regalsecurity.com}} (Mail Server / DNS Configuration)

----

h3. Severity:

*High*

*CVSS Score:* 8.1
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N}}

----

h2. Description

It was observed that the domain’s email authentication configuration is weak due to SPF configured with {{~all}} (SoftFail), DMARC policy set to {{p=none}} (monitoring mode only), and absence of detectable DKIM selectors. The current SPF configuration does not strictly reject unauthorized senders, DMARC is not enforcing quarantine or rejection policies, and outbound emails are not cryptographically signed via DKIM. These combined misconfigurations weaken sender authentication and domain protection mechanisms.

If exploited by an attacker, the domain could be spoofed to send fraudulent emails appearing as legitimate communications from the organization. This could result in phishing attacks, business email compromise (BEC), credential harvesting, financial fraud, and reputational damage. Since DMARC is not enforcing rejection and DKIM is missing, malicious emails may pass receiving server checks more easily, significantly increasing the risk of successful impersonation campaigns.

----

h2. Steps to Reproduce

# Query the domain’s SPF record:
{noformat}nslookup -type=txt client-domain.com{noformat}
Observe:
{noformat}v=spf1 include:<spf-provider> ~all{noformat}
# Query the DMARC record:
{noformat}nslookup -type=txt _dmarc.client-domain.com{noformat}
Observe:
{noformat}v=DMARC1; p=none; rua=mailto:info@client-domain.com; fo=1{noformat}
# Attempt to identify DKIM selectors:
{noformat}nslookup -type=txt selector1._domainkey.client-domain.com{noformat}
Observe no valid DKIM record returned.

----

h2. Root Cause

* SPF configured in SoftFail mode ({{~all}}) instead of strict enforcement ({{-all}}).
* DMARC policy set to monitoring mode ({{p=none}}) without quarantine or reject enforcement.
* DKIM not implemented or not properly configured.
* Lack of hardened email authentication posture.

----

h2. Solution

* Update SPF record to strict enforcement:
{noformat}v=spf1 include:<spf-provider> -all{noformat}
* Implement DKIM signing for all outbound mail with proper key rotation policy.
* Change DMARC policy progressively:
** Start with {{p=quarantine}}
** Move to {{p=reject}} after validation period
* Implement DMARC alignment (SPF + DKIM alignment with From domain).
* Continuously monitor DMARC reports and tune configuration accordingly.

----

h2. CWE-ID

*CWE-290: Authentication Bypass by Spoofing*

----

h2. OWASP Category

*OWASP Web Top 10:2025*
A07 Authentication Failures

----

h2. References

[https://owasp.org/Top10/A07_Authentication_Failures/|https://owasp.org/Top10/A07_Authentication_Failures/]
[https://cwe.mitre.org/data/definitions/290.html|https://cwe.mitre.org/data/definitions/290.html]

----

h2. One-Line Summary

Weak SPF, non-enforced DMARC policy, and missing DKIM enable domain spoofing risk, increasing exposure to phishing and business email compromise attacks."
Exposure of Password Hash in Authenticated API Response,Bug,Security,"h1. Exposure of Password Hash in Authenticated API Response

----

h3. Affected Endpoint(s):

* {{/api/user/profile}}

----

h3. Severity:

*Low*

*CVSS Score:* 3.7
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N}}

----

h2. Description

It was observed that the authenticated API response returns the user's bcrypt password hash as part of the serialized user object. Although bcrypt is a strong one-way hashing algorithm designed to resist offline cracking, password hashes remain sensitive authentication artifacts and should never be exposed to client-side applications or API consumers. The presence of {{password_hash}} in the response indicates improper data serialization controls within the authentication or user DTO layer.

If exploited in conjunction with other vulnerabilities such as Cross-Site Scripting (XSS), Insecure Direct Object Reference (IDOR), or client-side compromise, an attacker could obtain password hashes and attempt offline cracking or reuse them in credential stuffing attacks. While the standalone risk remains limited because users only receive their own hash, this design flaw increases future blast radius in case of additional security weaknesses and contradicts secure development and data minimization principles.

----

h2. Steps to Reproduce

# Authenticate using valid credentials via:
{noformat}POST /api/login{noformat}
# Inspect the JSON response body.
# Observe that the response contains a field similar to:
{noformat}{
  ""id"": 101,
  ""email"": ""user@example.com"",
  ""password_hash"": ""$2b$10$XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX""
}{noformat}

----

h2. Root Cause

* Sensitive fields are not excluded from serialization logic.
* Improper DTO (Data Transfer Object) design exposes internal authentication attributes.
* Lack of secure response data filtering for user objects.

----

h2. Recommendation

* Remove {{password_hash}} from all API response payloads.
* Ensure sensitive fields are explicitly excluded in DTOs and serializers.
* Conduct a comprehensive review of all user-related API responses.
* Implement response-level schema validation to prevent accidental exposure of sensitive attributes.
* Apply secure coding guidelines enforcing strict separation between persistence models and API models.

----

h2. CWE-ID

*CWE-200: Exposure of Sensitive Information to an Unauthorized Actor*

----

h2. OWASP Category

*OWASP Web Top 10:2025*
A06 Insecure Design

*OWASP API Top 10:2023*

API3:2023 - Broken Object Property Level Authorization

----

h2. References

[https://owasp.org/Top10/2025/A06_2025-Insecure_Design/|https://owasp.org/Top10/2025/A06_2025-Insecure_Design/]

[https://owasp.org/API-Security/editions/2023/en/0xa3-broken-object-property-level-authorization/|https://owasp.org/API-Security/editions/2023/en/0xa3-broken-object-property-level-authorization/]
[https://cwe.mitre.org/data/definitions/200.html|https://cwe.mitre.org/data/definitions/200.html]

----

h2. One-Line Summary

The authenticated API response exposes the user’s bcrypt password hash, violating secure design principles and increasing risk if combined with additional vulnerabilities."
Username Enumeration via Forgot Password Functionality,Bug,Security,"h1. Username Enumeration via Forgot Password Functionality

----

h3. Affected Endpoint(s):

* {{/forgot-password}}

----

h3. Severity:

*Low*

*CVSS Score:* 3.7
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N}}

----

h2. Description

It was observed that the {{/forgot-password}} functionality returns a distinct response message when an unregistered email address is submitted, specifically indicating “User not found.” This behavior allows an unauthenticated attacker to differentiate between registered and non-registered email addresses based on the application’s response.

If exploited by an attacker, this behavior could enable systematic username enumeration by automating email submissions and observing response differences. The collected list of valid accounts could later be used for targeted phishing, credential stuffing, brute-force attacks, or social engineering campaigns, thereby increasing the overall attack surface of the authentication system.

----

h2. Steps to Reproduce

# Navigate to:
{noformat}/forgot-password{noformat}
# Submit an unregistered email address.
# Observe the response message:
{noformat}User not found{noformat}
# Compare the response with that of a registered email address and note the difference in messaging.

----

h2. Root Cause

* Authentication-related responses reveal account existence through descriptive error messages.
* Lack of generic response handling for sensitive account workflows.

----

h2. Recommendation

* Replace specific error messages with a generic response such as:
“If the provided email address is associated with an account, password reset instructions will be sent shortly.”
* Ensure consistent response messaging regardless of account existence.
* Implement rate limiting and monitoring on the {{/forgot-password}} endpoint.
* Consider adding CAPTCHA or abuse detection mechanisms to prevent automated enumeration.

----

h2. CWE-ID

*CWE-204: Observable Response Discrepancy*

----

h2. OWASP Category

*OWASP Web Top 10:2025*
A06 Insecure Design

----

h2. References

[https://owasp.org/Top10/2025/A06_2025-Insecure_Design/|https://owasp.org/Top10/2025/A06_2025-Insecure_Design/]
[https://cwe.mitre.org/data/definitions/204.html|https://cwe.mitre.org/data/definitions/204.html]

----

h2. One-Line Summary

The forgot password functionality reveals whether an email address is registered, enabling username enumeration and facilitating targeted attacks."
Sensitive Role Permissions and User Details Stored in Local Storage,Bug,Security,"h1. Sensitive Role Permissions and User Details Stored in Local Storage

----

h3. Affected Endpoint(s):

* {{https://app.regalsecurity.com}}

----

h3. Severity:

*Medium*

*CVSS Score:* 6.5
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N}}

----

h2. Description

It was observed that the application stores sensitive user-related information in the browser’s {{localStorage}}, including role permissions, access tokens, username, and email address. Since {{localStorage}} is accessible via JavaScript within the browser context, any client-side script executing in the origin—whether legitimate or malicious—can read and exfiltrate this data. Storing authentication tokens and authorization metadata in {{localStorage}} violates secure token handling best practices and increases exposure to client-side threats.

If exploited in the presence of a Cross-Site Scripting (XSS) vulnerability, malicious browser extension, or compromised third-party script, an attacker could retrieve access tokens and authorization details directly from {{localStorage}}. This could enable session hijacking, privilege misuse, lateral movement within the application, and unauthorized access to sensitive resources, significantly amplifying the impact of otherwise low-to-medium severity client-side vulnerabilities.

----

h2. Steps to Reproduce

# Log in to the application at:
{noformat}https://app.regalsecurity.com{noformat}
# Open browser Developer Tools → Application → Local Storage.
# Observe stored entries containing:
#* Access token
#* User roles/permissions
#* Username
#* Email address

----

h2. Root Cause

* Sensitive authentication and authorization data are stored in client-side persistent storage.
* Lack of secure token storage strategy (e.g., HttpOnly cookies).
* Overexposure of internal authorization metadata to the client environment.

----

h2. Recommendation

* Remove access tokens and sensitive authorization data from {{localStorage}}.
* Store authentication tokens exclusively in {{HttpOnly}}, {{Secure}}, and {{SameSite}} cookies.
* Avoid exposing detailed role-permission mappings to the client unless strictly necessary.
* Implement short-lived access tokens with secure refresh token rotation.
* Conduct a client-side storage audit to eliminate unnecessary sensitive data persistence.

----

h2. CWE-ID

*CWE-922: Insecure Storage of Sensitive Information*

----

h2. OWASP Category

*OWASP Web Top 10:2025*
A06, Insecure Design

----

h2. References

[https://owasp.org/Top10/2025/A06_2025-Insecure_Design/|https://owasp.org/Top10/2025/A06_2025-Insecure_Design/]
[https://cwe.mitre.org/data/definitions/922.html|https://cwe.mitre.org/data/definitions/922.html]

----

h2. One-Line Summary

Sensitive authentication tokens and role-permission data are stored in browser localStorage, increasing the risk of session hijacking and privilege misuse in the event of client-side compromise."
Sensitive Token Exposure via Referer Header in Forgot Password Flow,Bug,Security,"h1. Sensitive Token Exposure via Referer Header in Forgot Password Flow

----

h3. Affected Endpoint(s):

* {{/img/logo/logo-light-streamline.png}}

----

h3. Severity:

*Medium*

*CVSS Score:* 6.4
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N}}

----

h2. Description

It was observed that when a user accesses the forgot password URL received via email, the application loads static resources such as {{/img/logo/logo-light-streamline.png}}. During this request, the full reset URL—including the password reset token embedded in the query string—is transmitted in the {{Referer}} header. This results in sensitive password reset tokens being exposed to any service, CDN, reverse proxy, or logging system handling the image request.

If exploited by an attacker, this behavior could allow interception or logging of valid password reset tokens through web server logs, third-party integrations, analytics tools, or intermediary infrastructure. An attacker with access to these logs or monitoring systems could reuse the exposed reset token within its validity window to perform unauthorized password resets, potentially leading to account takeover.

----

h2. Steps to Reproduce

# Initiate a password reset request for a valid account.
# Open the reset link received via email (e.g., {{/reset-password?token=XXXX}}).
# Intercept network traffic using browser developer tools or a proxy.
# Observe the GET request to:
{noformat}/img/logo/logo-light-streamline.png{noformat}
# Inspect the request headers and confirm that the {{Referer}} header contains the full reset URL with the embedded token.

----

h2. Root Cause

* Password reset tokens are included in URL query parameters.
* No {{Referrer-Policy}} header is configured to restrict referrer leakage.
* Sensitive tokens are exposed during resource loading within the same origin.

----

h2. Recommendation

* Avoid placing sensitive tokens in URL query parameters; use POST-based flows or short-lived one-time tokens stored server-side.
* Implement a strict {{Referrer-Policy}} header, such as:
{noformat}Referrer-Policy: no-referrer{noformat}
or
{noformat}Referrer-Policy: same-origin{noformat}
* Ensure reset tokens are single-use and expire immediately after successful password reset.
* Minimize external or third-party resource loading on sensitive pages such as password reset screens.

----

h2. CWE-ID

*CWE-598: Use of GET Request Method With Sensitive Query Strings*

----

h2. OWASP Category

*OWASP Web Top 10:2025*
A06 Insecure Design

----

h2. References

[https://owasp.org/Top10/2025/A06_2025-Insecure_Design/|https://owasp.org/Top10/2025/A06_2025-Insecure_Design/]
[https://cwe.mitre.org/data/definitions/598.html|https://cwe.mitre.org/data/definitions/598.html]

----

h2. One-Line Summary

Password reset tokens embedded in URLs are exposed via the Referer header during static resource loading, creating a risk of token leakage and potential account takeover."
APIs Not Verifying JWT Signature Allowing Privilege Escalation and Full Account Compromise,Bug,Security,"h1. APIs Not Verifying JWT Signature Allowing Privilege Escalation and Full Account Compromise

----

h3. Affected Endpoint(s):

* {{/api/*}}

----

h3. Severity:

*Critical*

*CVSS Score:* 9.8
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H}}

----

h2. Description

It was observed that the backend APIs do not properly verify the JWT signature before processing authenticated requests. During testing, an authenticated API request was captured and replayed with only the {{accessToken}} retained. The endpoint returned {{200 OK}} with valid data. Upon removing the cookie entirely, the API correctly returned {{401 Unauthorized}}, confirming that authentication depends on the access token. However, when the JWT signature portion was removed while retaining the header and payload, the API still returned {{200 OK}} with valid data. This behavior confirms that the server does not validate the integrity or signature of the JWT. Further inspection revealed that the JWT payload only contains three parameters: {{id}}, {{iat}} (issued at), and {{exp}} (expiry). Since the {{id}} field is a predictable natural number integer, it becomes trivial to guess or brute-force other user IDs, including privileged roles such as super-admin.

If exploited by an attacker, this flaw would allow arbitrary token tampering, privilege escalation, and complete authentication bypass. An attacker could modify the {{id}} value in the JWT payload to impersonate any user in the system without possessing the signing secret. Because the signature is not verified, any crafted token would be accepted as valid. This could result in full application compromise, unauthorized access to sensitive data, administrative control, and potential system-wide impact across all API endpoints.

----

h2. Steps to Reproduce

# Authenticate and capture a valid API request to:
{noformat}/api/<protected-endpoint>{noformat}
# Replay the request with only the {{accessToken}} cookie/header retained → Response: {{200 OK}}.
# Remove the {{accessToken}} entirely → Response: {{401 Unauthorized}}.
# Re-add the JWT but remove the signature portion (i.e., modify {{header.payload.signature}} to {{header.payload.}}).
# Replay the request → Response: {{200 OK}} with valid data.
# Modify the {{id}} value in the JWT payload to another numeric user ID and resend the request → Observe access to another user’s data (if applicable).

----

h2. Root Cause

* JWT signature verification is not enforced on the server side.
* Absence of cryptographic integrity validation during token parsing.
* Overreliance on client-supplied JWT payload fields.
* Predictable sequential numeric user identifiers.

----

h2. Recommendation

* Enforce strict JWT signature verification using the server-side secret/public key before processing any request.
* Reject tokens with missing or invalid signatures.
* Validate algorithm enforcement (do not allow {{none}} algorithm).
* Avoid trusting user identifiers directly from client-controlled tokens without verification.
* Replace sequential numeric user IDs with non-predictable identifiers (e.g., UUIDs).
* Implement role-based access control validation on every request independent of token claims.
* Conduct a comprehensive review of the authentication middleware implementation.

----

h2. CWE-ID

*CWE-347: Improper Verification of Cryptographic Signature*
*CWE-287: Improper Authentication*

----

h2. OWASP Category

*OWASP Web Top 10:2025*
A01 Broken Access Control, A04 Cryptographic Failures, A07 Authentication Failures

*OWASP API Security Top 10:2023*
API2:2023 Broken Authentication, API5:2023 Broken Function Level Authorization 

----

h2. References

[https://owasp.org/Top10/2025/A01_2025-Broken_Access_Control/|https://owasp.org/Top10/2025/A01_2025-Broken_Access_Control/]

[https://owasp.org/Top10/2025/A04_2025-Cryptographic_Failures/|https://owasp.org/Top10/2025/A04_2025-Cryptographic_Failures/]

[https://owasp.org/Top10/2025/A07_2025-Authentication_Failures/|https://owasp.org/Top10/2025/A07_2025-Authentication_Failures/]

[https://owasp.org/API-Security/editions/2023/en/0xa2-broken-authentication/|https://owasp.org/API-Security/editions/2023/en/0xa2-broken-authentication/]

[https://owasp.org/API-Security/editions/2023/en/0xa5-broken-function-level-authorization/|https://owasp.org/API-Security/editions/2023/en/0xa5-broken-function-level-authorization/]
[https://cwe.mitre.org/data/definitions/347.html|https://cwe.mitre.org/data/definitions/347.html]
[https://cwe.mitre.org/data/definitions/287.html|https://cwe.mitre.org/data/definitions/287.html]

----

h2. One-Line Summary

JWT signature verification is not enforced, allowing attackers to forge tokens, escalate privileges, and gain full unauthorized access to the application APIs."
Guessable JWT Payload Allows Broken Access Control,Bug,Security,"h1. Guessable JWT Payload Allows Broken Access Control

----

h3. Affected Endpoint(s):

* {{/api/*}}

----

h3. Severity: *High*

*CVSS Score:* 8.8
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N}}

----

h2. Description

It was observed that the JWT payload contains only three parameters: {{id}}, {{iat}} (issued at), and {{exp}} (expiry). The {{id}} value corresponds directly to the internal user identifier, which is implemented as a predictable natural number integer. The token does not include role validation claims or contextual authorization constraints, and application authorization logic relies primarily on the {{id}} field provided within the token. Since user IDs are sequential and easily guessable, this creates a predictable identity mapping model.

If exploited by an attacker, a modified token containing a different user {{id}}—such as that of a super-admin—could potentially grant unauthorized access to privileged resources. Because numeric IDs are easily enumerable and brute-forceable, an attacker could attempt privilege escalation by iterating through possible values. If server-side authorization validation is weak or overly dependent on the token’s {{id}} claim, this could lead to horizontal and vertical privilege escalation, resulting in full application compromise.

----

h2. Steps to Reproduce

# Authenticate and capture a valid JWT token.
# Decode the JWT and inspect the payload.
# Observe that it contains only:
{noformat}{
  ""id"": 101,
  ""iat"": 1700000000,
  ""exp"": 1700003600
}{noformat}
# Modify the {{id}} value to another valid integer (e.g., {{1}} for super-admin).
# Re-sign the token (if signature validation exists) or replay in cases of weak validation.
# Access privileged API endpoints and observe potential unauthorized access.

----

h2. Root Cause

* JWT payload design exposes predictable user identifiers.
* Authorization decisions rely heavily on client-supplied {{id}} claims.
* Sequential numeric user IDs are used without additional contextual validation.
* Insufficient server-side authorization enforcement.

----

h2. Recommendation

* Do not rely solely on token {{id}} claims for authorization decisions.
* Enforce strict server-side role-based access control (RBAC) independent of client-supplied identifiers.
* Use non-predictable identifiers (e.g., UUIDs) instead of sequential integers.
* Include role claims and validate them against server-side user records.
* Implement object-level authorization checks on all protected endpoints.
* Conduct a full access control review to prevent IDOR-style privilege escalation.

----

h2. CWE-ID

*CWE-639: Authorization Bypass Through User-Controlled Key*
*CWE-284: Improper Access Control*

----

h2. OWASP Category

*OWASP Web Top 10:2025*
A01 Broken Access Control

*OWASP API Security Top 10:2023*
API5:2023 - Broken Function Level Authorization

----

h2. References

[https://owasp.org/Top10/A01_Broken_Access_Control/|https://owasp.org/Top10/A01_Broken_Access_Control/]
[https://owasp.org/API-Security/editions/2023/en/0xa5-broken-function-level-authorization/|https://owasp.org/API-Security/editions/2023/en/0xa5-broken-function-level-authorization/]
[https://cwe.mitre.org/data/definitions/639.html|https://cwe.mitre.org/data/definitions/639.html]
[https://cwe.mitre.org/data/definitions/284.html|https://cwe.mitre.org/data/definitions/284.html]

----

h2. One-Line Summary

Predictable JWT payload design using sequential user IDs enables privilege escalation and broken access control if authorization checks rely on client-controlled claims."
Cookie Misconfiguration – SameSite Attribute Set to None,Bug,Security,"h1. Cookie Misconfiguration – SameSite Attribute Set to {{None}}

----

h3. Affected Domain

* {{https://app.regalsecurity.com}}

----

h3. Severity

*Medium*

*CVSS Score:* 6.5
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:L/A:N}}

----

h2. Description

It was identified that authentication cookies are configured with the {{SameSite=None}} attribute.

The {{SameSite}} attribute controls whether browsers include cookies in cross-site requests. When set to {{None}}, cookies are sent with all cross-origin requests, including those initiated from third-party websites.

Unless explicitly required for cross-site functionality (e.g., federated authentication or embedded cross-domain integrations), using {{SameSite=None}} unnecessarily increases exposure to Cross-Site Request Forgery (CSRF) attacks.

If CSRF protections are weak or absent, an attacker could trick an authenticated user into performing unintended actions by causing the victim’s browser to automatically include authentication cookies in malicious cross-site requests.

----

h2. Impact

* Increased exposure to CSRF attacks
* Authentication cookies sent in cross-origin contexts
* Potential unauthorized state-changing requests
* Session misuse if other defenses are not properly implemented

The risk becomes higher if:

* CSRF tokens are missing or improperly validated
* Sensitive endpoints rely solely on cookie-based authentication

----

h2. Root Cause

* Authentication cookies configured with {{SameSite=None}} without strict necessity
* Overly permissive cross-site cookie behavior

----

h2. Recommendation

# Change the cookie attribute from:
{noformat}SameSite=None{noformat}
To:
{noformat}SameSite=Lax{noformat}
# Ensure the following secure cookie attributes are also configured:
#* {{HttpOnly}}
#* {{Secure}}
#* {{SameSite=Lax}} (or {{Strict}} if business logic allows)
# If cross-site usage is required:
#* Implement robust anti-CSRF protections
#* Validate Origin and Referer headers
#* Use CSRF tokens for all state-changing operations

----

h2. CWE-ID

* *CWE-352: Cross-Site Request Forgery (CSRF)*
* *CWE-1275: Sensitive Cookie with Improper SameSite Attribute*

----

h2. OWASP Category

* *OWASP Top 10:2025 – A02: Security Misconfiguration*

----

h2. One-Line Summary

Authentication cookies configured with {{SameSite=None}} unnecessarily expose the application to CSRF risks and should be restricted to {{SameSite=Lax}} unless cross-site behavior is strictly required."
Missing CSRF Protection on Sensitive API Endpoints,Bug,Security,"h1. Missing CSRF Protection on Sensitive API Endpoints

----

h3. Affected Endpoints

* {{/api/permissions/*}}
* {{/api/roles/*}}
* {{/api/change-password}}
* Other authenticated state-changing endpoints

----

h3. Severity

*Medium*

*CVSS Score:* 4.6
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:N}}

----

h2. Description

It was identified that sensitive state-changing API endpoints—including role management, permission updates, and password change functionality—do not implement anti-CSRF protections.

The application relies on cookie-based authentication, and these endpoints accept requests without requiring:

* CSRF tokens
* Origin header validation
* Referer header validation

In the absence of CSRF mitigations, an attacker can craft a malicious webpage that triggers authenticated requests from a victim’s browser while the victim is logged in. Since browsers automatically attach session cookies to requests, the server processes these forged requests as legitimate.

----

h2. Impact

An attacker could cause an authenticated user to unintentionally:

* Modify roles or permissions
* Change account passwords
* Update account configurations

Successful exploitation depends on social engineering (user interaction required), which reduces overall exploitability but still presents a meaningful integrity risk—particularly if administrative users are targeted.

----

h2. Root Cause

* No anti-CSRF token implementation
* Missing Origin/Referer validation
* Reliance on cookie-based authentication without request-level validation

----

h2. Recommendation

# Implement the Synchronizer Token Pattern for all state-changing requests (POST, PUT, PATCH, DELETE).
# Validate CSRF tokens server-side on every request.
# Enforce {{SameSite=Lax}} (or {{Strict}}) for authentication cookies where business logic permits.
# Validate {{Origin}} and {{Referer}} headers for sensitive endpoints.
# Conduct a broader review of authentication and request validation mechanisms.

----

h2. CWE-ID

* *CWE-352: Cross-Site Request Forgery (CSRF)*

----

h2. OWASP Category

* OWASP Top 10:2025 – A06: Insecure Design

----

h2. References

[https://owasp.org/Top10/2025/A02_2025-Security_Misconfiguration/|https://owasp.org/Top10/2025/A02_2025-Security_Misconfiguration/]

[https://cwe.mitre.org/data/definitions/352.html|https://cwe.mitre.org/data/definitions/352.html]

----

h2. One-Line Summary

Sensitive authenticated endpoints lack CSRF protections, enabling cross-site request forgery attacks that can manipulate user roles, permissions, or account credentials."
Session Does Not Expire Upon Password Change,Bug,Security,"h1. Session Does Not Expire Upon Password Change

----

h3. Affected Endpoint(s):

* {{/api/*}}
* [https://app.regalsecurity.com/|https://app.regalsecurity.com/]

----

h3. Severity:

*High*

*CVSS Score:* 8.8
*Vector:* {{CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N}}

----

h2. Description

It was observed that active user sessions remain valid even after a successful password change. When a user updates their account password, previously issued session tokens and authentication cookies are not invalidated, allowing existing sessions across browsers or devices to continue functioning without requiring re-authentication.

If exploited by an attacker who has already obtained a valid session token through session hijacking, device compromise, or shared system access, the attacker would continue to maintain unauthorized access even after the legitimate user changes their password. This could lead to persistent account compromise, unauthorized data access, fraudulent transactions, and potential regulatory non-compliance due to failure in enforcing secure session lifecycle management.

Note : The same logic applies when super-admin changes password for the user, or forgot password functionality is used to update the password.

----

h2. Steps to Reproduce

# Log in to the application in Browser A.
# Capture the active session cookie/token.
# Change the account password via {{/account/change-password}}.
# Use the previously captured session token in Browser B or replay it via a proxy.
# Observe that access to authenticated endpoints such as {{/dashboard}} remains valid.

----

h2. Root Cause

* Session invalidation logic is not triggered upon password change.
* The application does not revoke or rotate existing session tokens after credential modification.

----

h2. Solution

* Invalidate all active sessions immediately after a successful password change.
* Revoke and rotate all session tokens associated with the user account.
* Implement centralized server-side session management with active session tracking.
* Force re-authentication across all devices after credential updates.
* Log and notify users regarding session revocation events.

----

h2. CWE-ID

*CWE-613: Insufficient Session Expiration*

----

h2. OWASP Category

*OWASP Web Top 10:2025*
A07 Authentication Failures

----

h2. References

[https://owasp.org/Top10/A07_Authentication_Failures/|https://owasp.org/Top10/A07_Authentication_Failures/]
[https://cwe.mitre.org/data/definitions/613.html|https://cwe.mitre.org/data/definitions/613.html]

----

h2. One-Line Summary

Active sessions remain valid after password change, allowing persistent unauthorized access if a session token has been previously compromised."
Access Token Remains Valid After Logout,Bug,Security,"h2. Access Token Remains Valid After Logout

*Severity:* High
*CVSS Score:* 7.5
*Vector:* CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N

----

h2. Description

It was observed that the application does not invalidate active access tokens upon user logout. After a user logs out from the application interface, previously issued access tokens remain valid until their natural expiration time.

During testing, an authenticated session was established and the access token was captured. After performing a logout operation through the application, the captured access token was reused to access protected API endpoints. The backend continued to accept the token and returned valid responses.

This behavior indicates that logout functionality is handled only at the client side and does not enforce server-side token invalidation or revocation.

----

h2. Impact

* *Session Persistence After Logout:*
Users remain effectively authenticated despite explicitly logging out.
* *Token Reuse Risk:*
If an access token is compromised (e.g., via XSS, proxy interception, shared machine access), it can be reused even after logout.
* *Account Takeover Window:*
Attackers can maintain access until token expiration.
* *Weak Incident Containment:*
Logout does not function as a reliable security control.

----

h2. Steps to Reproduce

# Log in to the application and capture the access token.
# Perform logout via the application interface.
# Send an authenticated API request using the previously captured access token.
# Observe that the request is processed successfully despite logout.

----

h2. Root Cause

* Logout invalidates tokens only on the client side.
* No server-side token revocation mechanism is implemented.
* Access tokens are considered valid solely based on signature and expiry time.

----

h2. Solution

Implement one or more of the following controls:

* *Token Revocation Mechanism:*
Maintain a token blacklist or revocation store for invalidated tokens.
* *Token Versioning (Recommended):*
Maintain a per-user {{token_version}} and increment it on logout.
Reject tokens with outdated versions.
* *Short-Lived Access Tokens:*
Reduce access token validity and rely on secure refresh mechanisms.
* *Invalidate Refresh Tokens on Logout:*
Ensure no new access tokens can be generated post-logout.

Logout must invalidate effective access immediately, not rely solely on token expiry.

----

h2. CWE-ID

* *CWE-613:* Insufficient Session Expiration
* *CWE-284:* Improper Access Control

----

h2. OWASP Top 10 (Web 2025)

* *A01 – Broken Access Control*

----

h3. One-Line Summary

{quote}Access tokens remain valid after logout, allowing continued authenticated API access until token expiration.{quote}"
